topic,bag_stamp,header_stamp,frame_id,child_frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_x,linear_y,angular_z
/agv1/odom,1789452538.751496,1789452538.7514293,agv1/odom,agv1/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv3/odom,1789452538.7622135,1789452538.7565243,agv3/odom,agv3/base_link,-0.045909813706368506,0.00644316674808015,0.05969,0.0,0.0,0.05106360388566141,0.9986954031926893,0.0,0.0,0.0
/agv1/odom,1789452538.7635462,1789452538.7634323,agv1/odom,agv1/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv2/odom,1789452538.7641695,1789452538.7599573,agv2/odom,agv2/base_link,-0.05160341341631001,-0.04402402173709985,0.05969,0.0,0.0,0.006972564868236748,0.9999756913741245,0.0,0.0,0.0
/agv3/odom,1789452538.7692347,1789452538.7645285,agv3/odom,agv3/base_link,-0.045909813706368506,0.00644316674808015,0.05969,0.0,0.0,0.05106360388566141,0.9986954031926893,0.0,0.0,0.0
/agv1/odom,1789452538.7715251,1789452538.7714183,agv1/odom,agv1/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv2/odom,1789452538.7718022,1789452538.7679539,agv2/odom,agv2/base_link,-0.05160341341631001,-0.04402402173709985,0.05969,0.0,0.0,0.006972564868236748,0.9999756913741245,0.0,0.0,0.0
/agv3/odom,1789452538.7792604,1789452538.776535,agv3/odom,agv3/base_link,-0.045909813706368506,0.00644316674808015,0.05969,0.0,0.0,0.05106360388566141,0.9986954031926893,0.0,0.0,0.0
/agv1/odom,1789452538.7835023,1789452538.7834275,agv1/odom,agv1/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv2/odom,1789452538.7836914,1789452538.7799692,agv2/odom,agv2/base_link,-0.05160341341631001,-0.04402402173709985,0.05969,0.0,0.0,0.006972564868236748,0.9999756913741245,0.0,0.0,0.0
/agv3/odom,1789452538.7873673,1789452538.7845256,agv3/odom,agv3/base_link,-0.045909813706368506,0.00644316674808015,0.05969,0.0,0.0,0.05106360388566141,0.9986954031926893,0.0,0.0,0.0
/agv1/odom,1789452538.7915025,1789452538.7914324,agv1/odom,agv1/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv2/odom,1789452538.7916598,1789452538.78795,agv2/odom,agv2/base_link,-0.05160341341631001,-0.04402402173709985,0.05969,0.0,0.0,0.006972564868236748,0.9999756913741245,0.0,0.0,0.0
