topic,bag_stamp,header_stamp,serial_receive_stamp,robot_id,feedback_seq,command_seq_applied,packet_seq,wheel_left_raw,wheel_right_raw,wheel_left_applied,wheel_right_applied,wheel_left_actual,wheel_right_actual,linear_velocity_actual,angular_velocity_actual,battery_voltage,control_loop_overrun,speed_limit_active_left,speed_limit_active_right,accel_limit_active_left,accel_limit_active_right,decel_limit_active_left,decel_limit_active_right
/agv1/chassis_feedback,1788940050.2869332,1788940050.262198,1788940050.262184,1,18520,52686,1533871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.777508735656738,False,False,False,False,False,False,False
/agv1/chassis_feedback,1788940050.2869449,1788940050.2701843,1788940050.262184,1,18521,52686,1533871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.777508735656738,False,False,False,False,False,False,False
/agv1/chassis_feedback,1788940050.2869492,1788940050.28215,1788940050.2781415,1,18522,52687,1533875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.777508735656738,False,False,False,False,False,False,False
/agv1/chassis_feedback,1788940050.290238,1788940050.290166,1788940050.2861452,1,18523,52688,1533877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.777508735656738,False,False,False,False,False,False,False
/agv3/chassis_feedback,1788940050.2990375,1788940050.2923636,1788940050.288363,3,12533,52688,59686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.568131446838379,False,False,False,False,False,False,False
/agv2/chassis_feedback,1788940050.3013673,1788940050.2980301,1788940050.2979922,2,12014,52689,62930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.922710418701172,False,False,False,False,False,False,False
/agv1/chassis_feedback,1788940050.3022714,1788940050.3021655,1788940050.3021507,1,18524,52690,1533881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.777508735656738,False,False,False,False,False,False,False
/agv3/chassis_feedback,1788940050.3068345,1788940050.3044517,1788940050.3044417,3,12534,52690,59690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.568131446838379,False,False,False,False,False,False,False
/agv1/chassis_feedback,1788940050.310297,1788940050.3101876,1788940050.3021507,1,18525,52690,1533881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.777508735656738,False,False,False,False,False,False,False
/agv2/chassis_feedback,1788940050.3122478,1788940050.3060691,1788940050.3060236,2,12015,52690,62932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.922710418701172,False,False,False,False,False,False,False
/agv3/chassis_feedback,1788940050.3158143,1788940050.3124444,1788940050.3124342,3,12535,52690,59692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.568131446838379,False,False,False,False,False,False,False
/agv2/chassis_feedback,1788940050.3215249,1788940050.318183,1788940050.3140008,2,12016,52691,62934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.922710418701172,False,False,False,False,False,False,False
/agv1/chassis_feedback,1788940050.3222628,1788940050.3221571,1788940050.3181403,1,18526,52692,1533885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.777508735656738,False,False,False,False,False,False,False
/agv2/chassis_feedback,1788940050.3292458,1788940050.3261845,1788940050.3219879,2,12017,52692,62936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.922710418701172,False,False,False,False,False,False,False
/agv1/chassis_feedback,1788940050.3302822,1788940050.3301883,1788940050.3261762,1,18527,52692,1533887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.777508735656738,False,False,False,False,False,False,False
/agv3/chassis_feedback,1788940050.3399634,1788940050.324449,1788940050.320439,3,12536,52692,59694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.568131446838379,False,False,False,False,False,False,False
/agv1/chassis_feedback,1788940050.3423433,1788940050.3421988,1788940050.3421848,1,18528,52694,1533891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.777508735656738,False,False,False,False,False,False,False
/agv2/chassis_feedback,1788940050.3429189,1788940050.3381593,1788940050.3381145,2,12018,52693,62940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.922710418701172,False,False,False,False,False,False,False
/agv2/chassis_feedback,1788940050.3488734,1788940050.3461516,1788940050.3461072,2,12019,52694,62942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.922710418701172,False,False,False,False,False,False,False
